ICAO CODE,FLIGHT NUMBER,สายการบิน,เลขที่อนุมัติ,,บ.แบบ,ต้นทาง,เวลา,ปลายทาง,เวลา,ระยะเวลา
KMI,8K+NUMBER,"K-MILE AIR CO.,LTD",กพท 08/9421,,B737/400SF,,,,,28 OCT 18 - 30 MAR 19
KNA,KY+NUMBER,KUNMING A/L,กพท 08/10157,,B737,,,,,28 OCT 18 - 30 MAR 19
KQA,KQ+NUMBER,KENYA A/W,กพท 08/10655,,"B767,B777",,,,,28 OCT 18 - 30 MAR 19
KZR,"KC+NUMBER,KC935,KC936",AIR ASTANA,กพท 08/10477,,,,,,,28 OCT 18 - 30 MAR 19
KZR,KC+NUMBER,AIR ASTANA,กพท 08/9595,,,,,,,28 OCT 18 - 30 MAR 19
LAO,QV+ NUMBER,LAO A/L,กพท 08/10667,,"ATR72,A320",,,,,28 OCT 18 - 30 MAR 19
LDA,"LDA831,LDA842+EI-HEA/EI-HEB+N647GT",AIR HONGKONG,กพท 08/10575,,A300F/B747F,,,,,28 OCT 18 - 30 MAR 19
LKE,8L+NUMBER,YUNNAN LUCKY AIR,กพท 08/10314,กพท 08/10597,A319/A320/B737,,,,,28 OCT 18 - 30 MAR 19
MAS,MH+NUMBER,MALAYSIA A/L BERHAD,กพท 08/9502,กพท 08/10714,A333/A332/B738,,,,,28 OCT 18 - 30 MAR 19
MAU,MK+NUMBER,AIR MAURITIUS,กพท 08/9974,,A319/A330/A340/A350,,,,,28 OCT 18 - 30 MAR 19
MDG,"MD018,MD019",AIR MADAGASCAR,กพท 08/9805,,A340,,,,,28 OCT 18 - 30 MAR 19
MGL,"MGL701,MGL702",MIAT MONGOLIA AIRLINES,กพท 08/10766,,B737/B763/B737/B767,,,,,28 OCT 18 - 30 MAR 19
MMA,8M + NUMBER,MYANMAR A/W INTERNATIONAL,กพท  08/10296,,A320/319,,,,,28 OCT 18 - 30 MAR 19
SEJ,SG+NUMBER,SPICEJET,กพท 08/10044,,B738/B739,,,,,28 OCT 18 - 30 MAR 19
MKR,"LQ670,LQ671",LANMEI A/L,กพท 08/9360,,,,,,,28 OCT 18 - 30 MAR 19
MKR,LQ+NUMBER,LANMEI A/L,กพท 08/10457,,,,,,,28 OCT 18 - 30 MAR 19
MSR,MS+NUMBER,EGYPTAIR,กพท 08/9276,กพท 08/8646,B773,,,,,28 OCT 18 - 30 MAR 19
MXD,OD+NUMBER,MALINDO AIR,กพท08/10172,กพท 08/10001,ATR72/B737,,,,,28 OCT 18 - 30 MAR 19
NAX,DY+NUMBER,NORWEGIAN AIR SHUTTLE,กพท 08/9445,,B787/A330/A340/B777/B787,,,,,28 OCT 18 - 30 MAR 19
NCA,KZ+NUMBER,NIPPON CARGO A/L,กพท08/10232,,B747F,,,,,28 OCT 18 - 30 MAR 19
NCT,XW+NUMBER….,NOK SCOOT,กพท 08/10724,,B772,,,,,28 OCT 18 - 30 MAR 19
NEP,N7+NUMBER,NEPTUNE AIR,,,B737-300,,,,,25 MAR 18 - 27 OCT 18
NOK,DD+…NUMBER…,NOK AIR,กพท 08/10651,กพท 08/10661,B738,,,,,28 OCT 18 - 30 MAR 19
NOS,"NO+NUMBER,NO279",NEOS S.P.A,,,,,,,,27 MAR 18 - 2 MAY 18
NRS,DI+NUMBER…,NORWEGIAN AIR UK,กพท  08/10257,,B788/B789,,,,,28 OCT 18 - 30 MAR 19
NWS,"N4 721,N4 722",NORDWIND A/L,กพท 08/9270,,A330/B777,,,,,28 OCT 18 - 30 MAR 19
OMA,OMA+NUMBER,OMAN AIR,กพท 08/9252,กพท 08/10334,B737/A330/ERJ175/B787,,,,,28 OCT 18 - 26 MAR 19
OKA,BK+NUMBER,OKAY A/W,กพท  08/10024,,B737,,,,,28 OCT 18 - 30 MAR 19
PAC,PAC+NUMBER(PO),POLAR AIR CARGO,กพท 08/10260,,B747,,,,,28 OCT 18 - 26 MAR 19
PAL,PR+NUMBER,PHILIPPINE A/L,กพท  08/10176,กพท  08/10338,,,,,,28 OCT 18 - 30 MAR 19
PIA,PIA+NUMBER(PK),PAKISTAN INTERNATIONAL A/L,กพท 08/9250,กพท 08/10703,A320/B777,,,,,28 OCT 18 - 30 MAR 19
PIC,BL+NUMBER,JETSTAR PACIFIC A/L,กพท 08/9848,,A320,,,,,28 OCT 18 - 30 MAR 19
QFA,QF+NUMBER,QANTAS ,กพท 08/10633,กพท 08/10611,A330/A380/B737/B747/B787,,,,,28 OCT 18 - 30 MAR 19
QFA,"QF7581,QF7583",QANTAS A/W,กพท 08/10463,,B747F,,,,,28 OCT 18 - 30 MAR 19
QTR,QTR+NUMBER(QR),QATAR A/W,กพท 08/10027,กพท 08/10547,A330/A340/A350/A380/B747/B777/B787,,,,,28 OCT 18 - 30 MAR 19
REU,"UU887,UU888",AIR AUSTRAL,กพท 08/10111,,B787,,,,,28 OCT 18 - 30 MAR 19
RBA,"BI+NUMBER,8M+NUMBER(CODESHARE)",ROYAL BRUNEI A/L,กพท 08/10384,กพท 08/9977,A319/320/B777/B787,,,,,28 OCT 18 - 30 MAR 19
RGE,RX+NUMBER,REGENT A/W,กพท 08/9348,กพท 08/9345,B737NG,,,,,28 OCT 18 - 30 MAR 19
RJA,RJ+NUMBER,ROYAL JORDANIAN,กพท 08/9825,,B787/A330/A340,,,,,28 OCT 18 - 30 MAR 19
RLH,DR+NUMBER,RUILI A/L,กพท 08/9408,กพท 08/9327,,,,,,28 OCT 18 - 30 MAR 19
RNA,"RA+NUMBER(RA415,RA416,RA401,RA402)",NEPAL A/L,กพท 08/9397,กพท 08/10787,B757/A320/A330,,,,,28 OCT 18 - 30 MAR 19
RMY,"TH4143,TH4144,TH4145",RAYA A/W,,,,,,,,2 NOV 17 - 24 MAR 18
SAA,SAA+NUMBER(SA),SOUTH AFRICAN A/W,กพท 08/9562,,,,,,,28 OCT 18 - 30 MAR 19
SBI,S7+NUMBER,SIBERIA A/L,กพท 08/9559,,A319/A320/A321/B767,,,,,28 OCT 18 - 30 MAR 19
SDM,FV+NUMBER,ROSSIYA A/L,กพท 08/10728,,B744/B773/B77W,,,,,28 OCT 18 - 30 MAR 19
SIA,SQ+NUMBER,SINGAPORE A/L CARGO,,,B747Y,,,,,29 OCT 17 - 24 MAR 18
SIA,SQ + NUMBER,SINGAPORE A/L,กพท 08/10732,,A333/B772/B787/B74Y,,,,,28 OCT 18 - 30 MAR 19
SLK,MI+..NUMBER…,SILK AIR,กพท 08/10568,กพท 08/10748,A319/A320/B738/B7M8,,,,,28 OCT 18 - 30 MAR 19
SVA,SV+…number…,SAUDI ARABIAN  A/L,กพท 08-10126,กพท 08/10641,B777/B747/B787/A330,,,,,28 OCT 18 - 1 JAN 19
,,,กพท 08/11510,,,,,,,21 NOV 18 - 5 JAN 19
SVR,U6+NUMBER,URAL A/L,,,A320/A319/A321,,,,,25 MAR 18 - 27 OCT 18
SWM,"ZA+NUMBER,SWM+NUMBER",SKY ANGKOR A/L,,,A320,,,,,25 MAR 18 - 27 OCT 18
SWR,LX+NUMBER,SWISS,กพท 08/9536,,A340,,,,,28 OCT 18 - 30 MAR 19
TAX,XJ+NUMBER,THAI AIRASIA X,กพท 08/10323,,A330,,,,,28 OCT 18 - 30 MAR 19
TAY,"TAY052,3V052(OE-IFB/OE-IFD)",ASL A/L BELGIUM,กพท 08/9129,,B747F,LIEGE,,SINGAPORE,,28 OCT 18 - 30 MAR 19
TGW,TR+NUMBER,SCOOT TIGERAIR PTE LTD,กพท 08/10467,กพท 08/10620,A319A320,,,,,28 OCT 18 - 30 MAR 19
THA,TG+..number…,THAI A/W,กพท 08/10528,,,,,,,28 OCT 18 - 30 MAR 19
THD,WE + NUMBER,"THAI SMILE,ไทยสมายล์ แอร์เวย์ จำกัด",กพท 08/10484,กพท 08/10519,,,,,,28 OCT 18 - 30 MAR 19
THY,"TK+NUMBER,THY+NUMBER",TURKISH A/L,กพท 08/10642,,A330/340/B777,,,,,28 OCT 18 - 30 MAR 19
TLM,SL+NUMBER,"ไทย ไลอ้อน เมนทารี จำกัด,THAI LION AIR",กพท 08/10502,กพท 08/10489,B737/900ER,,,,,28 OCT 18 - 30 MAR 19
TOM,TOM+NUMBER(BY+NUMBER),THOMSAN AIRWAYS,,,B787-8,,,,,1 NOV 17 - 22 MAR 18
TTW,"IT505,IT506",TIGERAIR TAIWAN,กพท 08/9809,,A320,,,,,28 OCT 18 - 30 MAR 19
TUA,"T5647,T5648,T5641,T5642,T5645,T5646",TURKMENISTAN A/L,กพท 08/9471,,B737/B738/B752/B77L,,,,,28 OCT 18 - 30 MAR 19
TVJ,VZ+NUMBER,THAI VIETJET AIR,กพท 08/10698,กพท 08/10694,A320/A321,,,,,28 OCT 18 - 30 MAR 19
TWB,"TW101,TW102,TW105,TW106",T' WAY AIR ,กพท 08/9665,กพท 08/11381,B737,SEOUL,,BKK,,28 OCT 18 - 30 MAR 19
UAE,"EK + NUMBER,OO-THA,OO-THB,OO-THC,OO-THD",EMIRATES A/L,,,B747/B777/B742/B744,,,,,25 MAR 18 - 27 OCT 18
UAE,EK + NUMBER,EMIRATES A/L,กพท08/10214,กพท 08/10762,B747/B777/B742/B744/4380,,,,,28 OCT 18 - 30 MAR 19
UBA,UB+NUMBER,MYANMAR NATIONAL A/L,กพท  08/10164,,ATR72/B738/EMB190,,,,,28 OCT 18 - 30 MAR 19
UBG,"BS213,BS214",US BANGLA AIRLINES,กพท 08/9427,,,,,,,28 OCT 18 - 30 MAR 19
UBG,"BS307,BS308,BS313,BS314,BS315,BS316",US BANGLA AIRLINES,กพท 08/9984,,B737-800,,,,,28 OCT 18 - 30 MAR 19
UPS,5X 0015,UNITED PARCEL SERVICE(5X),กพท 08/10343,,B747,,,,,28 OCT 18 - 31 MAR 19
UPS,"UPS22,UPS1,UPS23,UPS27,UPS3",UNITED PARCEL SERVICE,กพท 08/9839,,B747/B767/MD11,,,,,28 OCT 18 - 31 MAR 19
UZB,UZB+…NUMBER…,UZBEKISTAN A/W,กพท  08/10236,,B767/757/A310/320,,,,,28 OCT 18 - 30 MAR 19
VGO,E3+NUMBER,"SABAIDEE A/W,NEW GEN A/W",กพท 08/10691,,B737,,,,,28 OCT 18 - 30 MAR 19
VJC,VJ+NUMBER,VIETJET AIR,กพท 08/9492,กพท  08/10306,A320/A321,,,,,28 OCT 18 - 30 MAR 19
VKG,VKG+NUMBER(DK+NUMBER),THOMAS COOK AIRLINES SCANDINAVIA A/S,กพท  08/10123,,A330,,,,,27 OCT 18 - 24 MAR 19
XAX,XAX+NUMBER ,AIRASIA X,กพท 08/10016,,A330,,,,,27 OCT 18 - 24 MAR 19
"     *รายละเอียดข้อมูลคำอนุมัติ ให้ติดต่อสอบถามที่ AMIS (2-4134)
     *ให้เจ้าหน้าที่พิสูจน์ตรวจสอบวันหมดอายุของคำอนุมัติที่ช่อง ระยะเวลา ด้วย",,,,,,,,,,
